employee_id,name,job_role,day_of_week,leaves_taken,workload,temperature,precipitation,present
eed0744a-9615-4a8c-a3eb-441db1361e86,Chaitanya Sampath,Electronics and IT hardware,4,0,0.1939547973919029,27.744393284883984,8.897515844350885,0
516b7759-b428-4377-8be7-23045dc99f9c,Jason Swaminathan,Food Processing,4,8,0.8907188528825721,41.63341978340344,44.427094572336664,1
87679c44-2c5a-4838-9a4b-31fdf629b400,Samuel Halder,Telecommunications,2,1,0.3775836593774743,38.71601953519783,28.764637484462614,0
8df1cfa6-8fc9-4f80-a516-f1db12128ac9,Udant Dua,Auto and Auto Components,5,1,0.6278558564272284,33.79979558311342,15.354391377083632,1
05b2ef62-43f1-45ee-9922-f574036dac45,Upma Gulati,Healthcare,2,5,0.6400245538681316,23.827075313587,49.41159368582343,1
3f4f4e9b-e20a-4585-86fe-a6b73f4dd7ec,Tarak Sodhi,"Building, Construction and Real Estate",1,0,0.344699333178836,32.80786837318911,3.924091902480492,1
d12d959d-58ed-418a-a753-e12f75a54d7e,Gagan Bajaj,Electronics and IT hardware,1,6,0.7801638333118455,21.405995744627223,31.671882282304175,1
009dcf53-6670-414e-9bbc-1b23b2289c93,Hemal Edwin,Telecommunications,0,0,0.8615792855726538,40.84747097330346,6.531479119827077,1
e404200b-944d-4895-8f1b-8abba0b73529,Akshay Pai,Handlooms and Handicrafts,4,7,0.7562488581833091,36.94384636276969,9.391708266813914,1
6558da1b-0523-4ce9-a415-8754c700bf17,Ikshita Upadhyay,Furniture and Furnishing,6,1,0.4775275151592452,31.45824381253088,12.25112390144299,1
53ab27f2-68af-45ee-a100-6395bdc9e777,Abhiram Kibe,Textile and Clothing,1,3,0.7012243039000271,39.76540658175558,41.16848618307561,0
f072438e-6a40-4344-ae46-e77d5f73ae0e,Alexander Nigam,Media and Entertainment,3,9,0.9906601938716014,25.77314953558445,40.59456888147629,0
d495306f-fd21-4286-bbab-c2e5d5df6910,Saumya Mangat,Banking and Financial Services,2,3,0.1677960343453478,21.288912422049464,28.27306645666131,1
996b82b0-1a24-418c-8d99-6871a4315aaa,Chakrika Ramaswamy,Media and Entertainment,6,2,0.656135304710774,23.93856956414774,8.792113124319467,1
8c19ef45-190c-49e3-ac5c-de8dca51b867,Ekapad Virk,Media and Entertainment,0,5,0.23743774685761626,20.116726487367895,39.71849224037494,0
